項次,學期,週次,英文,中文,
J-14,1,J,Yes， it is. / No， it’s not. It’s across from the tea shop.,是的。/不是。它在茶飲店對面。,./sound/6上學期/J-14句4.mp3
K-1,1,K,Antarctica,南極,./sound/6上學期/K-1南極.mp3
K-2,1,K,expert,專家,./sound/6上學期/K-2專家.mp3
K-3,1,K,first time,第一次,./sound/6上學期/K-3第一次.mp3
K-4,1,K,before,以前,./sound/6上學期/K-4以前.mp3
K-5,1,K,in the world,世界上,./sound/6上學期/K-5世界上.mp3
K-6,1,K,in trouble,處於困難中,./sound/6上學期/K-6處於困難中.mp3
K-7,1,K,capybara,水豚,./sound/6上學期/K-7水豚.mp3
K-8,1,K,mean,意思是,./sound/6上學期/K-8意思是.mp3
K-9,1,K,around,環繞,./sound/6上學期/K-9環繞.mp3
K-10,1,K,by,在.....旁邊,./sound/6上學期/K-10在.....旁邊.mp3
K-11,1,K,Have you ever been to Iceland?,你有去過冰島嗎?,./sound/6上學期/K-11句1.mp3
K-12,1,K,Mosquitoes like to live in warm and wet places.,蚊子喜歡住在溫暖潮濕的地方。,./sound/6上學期/K-12句2.mp3
K-13,1,K,I’m in hot water.,我遇到麻煩了。,./sound/6上學期/K-13句3.mp3
K-14,1,K,Like mother， like daughter.,有其母必有其女。,./sound/6上學期/K-14句4.mp3
L-1,1,L,trash,垃圾,./sound/6上學期/L-1垃圾mp3.mp3
L-2,1,L,burn,焚燒,./sound/6上學期/L-2焚燒.mp3
L-3,1,L,landfills,垃圾掩埋,./sound/6上學期/L-3垃圾掩埋.mp3
L-4,1,L,less,較少的,./sound/6上學期/L-4較少的 .mp3
L-5,1,L,kilogram,公斤,./sound/6上學期/L-5公斤.mp3
L-6,1,L,withdraw,提款,./sound/6上學期/L-6提款.mp3
L-7,1,L,deposit,存款,./sound/6上學期/L-7存款.mp3
L-8,1,L,pay bills,繳費,./sound/6上學期/L-8繳費mp3.mp3
L-9,1,L,hang out,與.....相處,./sound/6上學期/L-9與.....相處.mp3
L-10,1,L,magazine,雜誌,./sound/6上學期/L-10雜誌.mp3
L-11,1,L,I gained 7 kilograms!,我胖了七公斤!,./sound/6上學期/L-11句1.mp3
L-12,1,L,All you need to do is cut down on French fries.,你只需要少吃薯條就可以了。,./sound/6上學期/L-12句2.mp3
L-13,1,L,A convenience store is like a bank.,便利商店就像一間銀行。,./sound/6上學期/L-13句3.mp3
L-14,1,L,You can sit down and relax with a cup of tea or coffee.,你可以坐下來喝杯茶或咖啡放鬆一下。,./sound/6上學期/L-14句4.mp3
